"","Sub.Question","Question","Response","Freq","Percent","Count","Type"
"459","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","5:  Agree strongly",304,15.2,7,"Likert"
"460","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","3:  Neither agree nor disagree",305,15.25,7,"Likert"
"461","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","6:  Not applicable (NA)",311,15.55,7,"Likert"
"462","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","1: Disagree strongly",266,13.3,7,"Likert"
"463","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","2:  Somewhat disagree",250,12.5,7,"Likert"
"464","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","4:  Somewhat agree",273,13.65,7,"Likert"
"465","I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","401.2 - Neighbourhood capacities - I am able to call on someone in my neighbourhood who is willing to help and show others how to use new technologies and applications.","7:  Don't know",291,14.55,7,"Likert"
"466","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","4:  Somewhat agree",267,13.35,7,"Likert"
"467","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","6:  Not applicable (NA)",289,14.45,7,"Likert"
"468","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","2:  Somewhat disagree",296,14.8,7,"Likert"
"469","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","1: Disagree strongly",295,14.75,7,"Likert"
"470","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","5:  Agree strongly",280,14,7,"Likert"
"471","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","3:  Neither agree nor disagree",270,13.5,7,"Likert"
"472","I am concerned about how companies, governements and others might use my online information.","429.3 - Attitudes towards technology - I am concerned about how companies, governements and others might use my online information.","7:  Don't know",303,15.15,7,"Likert"
"473","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","7:  Don't know",287,14.35,7,"Likert"
"474","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","3:  Neither agree nor disagree",282,14.1,7,"Likert"
"475","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","4:  Somewhat agree",306,15.3,7,"Likert"
"476","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","6:  Not applicable (NA)",274,13.7,7,"Likert"
"477","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","1: Disagree strongly",271,13.55,7,"Likert"
"478","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","2:  Somewhat disagree",305,15.25,7,"Likert"
"479","I am concerned about the impacts of e-waste on the environment.","429.1 - Attitudes towards technology - I am concerned about the impacts of e-waste on the environment.","5:  Agree strongly",275,13.75,7,"Likert"
"480","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","2:  Somewhat disagree",306,15.3,7,"Likert"
"481","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","6:  Not applicable (NA)",272,13.6,7,"Likert"
"482","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","5:  Agree strongly",285,14.25,7,"Likert"
"483","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","1: Disagree strongly",289,14.45,7,"Likert"
"484","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","3:  Neither agree nor disagree",267,13.35,7,"Likert"
"485","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","4:  Somewhat agree",282,14.1,7,"Likert"
"486","I am healthier as a result of the online information, advice or programs / apps I have used","353.1 - Health improvement - I am healthier as a result of the online information, advice or programs / apps I have used","7:  Don't know",299,14.95,7,"Likert"
"487","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","1: Disagree strongly",303,15.15,7,"Likert"
"488","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","4:  Somewhat agree",292,14.6,7,"Likert"
"489","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","7:  Don't know",286,14.3,7,"Likert"
"490","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","5:  Agree strongly",288,14.4,7,"Likert"
"491","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","2:  Somewhat disagree",266,13.3,7,"Likert"
"492","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","3:  Neither agree nor disagree",286,14.3,7,"Likert"
"493","I am in touch with my close friends more because I use the internet","344.2 - Improving relationships - I am in touch with my close friends more because I use the internet","6:  Not applicable (NA)",279,13.95,7,"Likert"
"494","I enjoy providing help to other people in my community to go online","288.6 - Approach to online communication - I enjoy providing help to other people in my community to go online","2:  Agree",408,20.4,5,"Likert"
"495","I enjoy providing help to other people in my community to go online","288.6 - Approach to online communication - I enjoy providing help to other people in my community to go online","5:  Strongly Disagree",376,18.8,5,"Likert"
"496","I enjoy providing help to other people in my community to go online","288.6 - Approach to online communication - I enjoy providing help to other people in my community to go online","3:  Neither Agree nor Disagree",444,22.2,5,"Likert"
"497","I enjoy providing help to other people in my community to go online","288.6 - Approach to online communication - I enjoy providing help to other people in my community to go online","4:  Disagree",375,18.75,5,"Likert"
"498","I enjoy providing help to other people in my community to go online","288.6 - Approach to online communication - I enjoy providing help to other people in my community to go online","1: Strongly Agree",397,19.85,5,"Likert"
"499","I enjoy providing help to other people in my family to go online","288.5 - Approach to online communication - I enjoy providing help to other people in my family to go online","1: Strongly Agree",411,20.55,5,"Likert"
"500","I enjoy providing help to other people in my family to go online","288.5 - Approach to online communication - I enjoy providing help to other people in my family to go online","2:  Agree",372,18.6,5,"Likert"
"501","I enjoy providing help to other people in my family to go online","288.5 - Approach to online communication - I enjoy providing help to other people in my family to go online","4:  Disagree",439,21.95,5,"Likert"
"502","I enjoy providing help to other people in my family to go online","288.5 - Approach to online communication - I enjoy providing help to other people in my family to go online","5:  Strongly Disagree",392,19.6,5,"Likert"
"503","I enjoy providing help to other people in my family to go online","288.5 - Approach to online communication - I enjoy providing help to other people in my family to go online","3:  Neither Agree nor Disagree",386,19.3,5,"Likert"
"504","I enjoy using the Internet in the company of others","288.4 - Approach to online communication - I enjoy using the Internet in the company of others","2:  Agree",389,19.45,5,"Likert"
"505","I enjoy using the Internet in the company of others","288.4 - Approach to online communication - I enjoy using the Internet in the company of others","4:  Disagree",385,19.25,5,"Likert"
"506","I enjoy using the Internet in the company of others","288.4 - Approach to online communication - I enjoy using the Internet in the company of others","3:  Neither Agree nor Disagree",415,20.75,5,"Likert"
"507","I enjoy using the Internet in the company of others","288.4 - Approach to online communication - I enjoy using the Internet in the company of others","5:  Strongly Disagree",424,21.2,5,"Likert"
"508","I enjoy using the Internet in the company of others","288.4 - Approach to online communication - I enjoy using the Internet in the company of others","1: Strongly Agree",387,19.35,5,"Likert"
"509","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","4:  Somewhat agree",263,13.15,7,"Likert"
"510","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","3:  Neither agree nor disagree",282,14.1,7,"Likert"
"511","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","6:  Not applicable (NA)",277,13.85,7,"Likert"
"512","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","5:  Agree strongly",291,14.55,7,"Likert"
"513","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","1: Disagree strongly",311,15.55,7,"Likert"
"514","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","7:  Don't know",273,13.65,7,"Likert"
"515","I find it easier to be myself when online than when I am with people face-to-face","428.1 - Engage with others online - I find it easier to be myself when online than when I am with people face-to-face","2:  Somewhat disagree",303,15.15,7,"Likert"
"516","I find sharing screens with other people frustrating","288.8 - Approach to online communication - I find sharing screens with other people frustrating","3:  Neither Agree nor Disagree",409,20.45,5,"Likert"
"517","I find sharing screens with other people frustrating","288.8 - Approach to online communication - I find sharing screens with other people frustrating","2:  Agree",378,18.9,5,"Likert"
"518","I find sharing screens with other people frustrating","288.8 - Approach to online communication - I find sharing screens with other people frustrating","1: Strongly Agree",429,21.45,5,"Likert"
"519","I find sharing screens with other people frustrating","288.8 - Approach to online communication - I find sharing screens with other people frustrating","4:  Disagree",393,19.65,5,"Likert"
"520","I find sharing screens with other people frustrating","288.8 - Approach to online communication - I find sharing screens with other people frustrating","5:  Strongly Disagree",391,19.55,5,"Likert"
"521","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","4:  Somewhat agree",308,15.4,7,"Likert"
"522","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","7:  Don't know",270,13.5,7,"Likert"
"523","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","6:  Not applicable (NA)",275,13.75,7,"Likert"
"524","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","2:  Somewhat disagree",276,13.8,7,"Likert"
"525","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","1: Disagree strongly",298,14.9,7,"Likert"
"526","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","5:  Agree strongly",282,14.1,7,"Likert"
"527","I go online much more on the weekends than I do on a regular school or work day [optional question]","428.4 - Engage with others online - I go online much more on the weekends than I do on a regular school or work day [optional question]","3:  Neither agree nor disagree",291,14.55,7,"Likert"
"528","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","7:  Don't know",294,14.7,7,"Likert"
"529","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","2:  Somewhat disagree",249,12.45,7,"Likert"
"530","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","4:  Somewhat agree",296,14.8,7,"Likert"
"531","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","3:  Neither agree nor disagree",276,13.8,7,"Likert"
"532","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","6:  Not applicable (NA)",292,14.6,7,"Likert"
"533","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","1: Disagree strongly",296,14.8,7,"Likert"
"534","I have a better relationship with my friends and family because I use the internet","344.1 - Improving relationships - I have a better relationship with my friends and family because I use the internet","5:  Agree strongly",297,14.85,7,"Likert"
"535","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","2:  Somewhat disagree",285,14.25,7,"Likert"
"536","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","7:  Don't know",282,14.1,7,"Likert"
"537","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","5:  Agree strongly",288,14.4,7,"Likert"
"538","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","4:  Somewhat agree",277,13.85,7,"Likert"
"539","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","6:  Not applicable (NA)",300,15,7,"Likert"
"540","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","3:  Neither agree nor disagree",290,14.5,7,"Likert"
"541","I have made better decisions about my health or medical care as a result of the information / advice I found online","353.2 - Health improvement - I have made better decisions about my health or medical care as a result of the information / advice I found online","1: Disagree strongly",278,13.9,7,"Likert"
"542","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","6:  Not applicable (NA)",291,14.55,7,"Likert"
"543","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","7:  Don't know",292,14.6,7,"Likert"
"544","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","1: Disagree strongly",284,14.2,7,"Likert"
"545","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","2:  Somewhat disagree",265,13.25,7,"Likert"
"546","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","3:  Neither agree nor disagree",306,15.3,7,"Likert"
"547","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","4:  Somewhat agree",296,14.8,7,"Likert"
"548","I have more friends because I use the internet","344.3 - Improving relationships - I have more friends because I use the internet","5:  Agree strongly",266,13.3,7,"Likert"
"549","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","2:  Less than Once a Month",312,15.6,7,"Likert"
"550","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","5:  Daily",271,13.55,7,"Likert"
"551","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","4:  Weekly",271,13.55,7,"Likert"
"552","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","3:  Monthly",260,13,7,"Likert"
"555","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","6:  Several times per day",289,14.45,7,"Likert"
"556","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","1: Never",299,14.95,7,"Likert"
"557","I haven't received any advice from any of these people or places","433.13 - Other sources of information on internet safety - I haven't received any advice from any of these people or places","7:  Don't know",298,14.9,7,"Likert"
"571","I prefer to go online when I am alone","288.7 - Approach to online communication - I prefer to go online when I am alone","1: Strongly Agree",386,19.3,5,"Likert"
"572","I prefer to go online when I am alone","288.7 - Approach to online communication - I prefer to go online when I am alone","3:  Neither Agree nor Disagree",395,19.75,5,"Likert"
"573","I prefer to go online when I am alone","288.7 - Approach to online communication - I prefer to go online when I am alone","4:  Disagree",379,18.95,5,"Likert"
"574","I prefer to go online when I am alone","288.7 - Approach to online communication - I prefer to go online when I am alone","5:  Strongly Disagree",397,19.85,5,"Likert"
"575","I prefer to go online when I am alone","288.7 - Approach to online communication - I prefer to go online when I am alone","2:  Agree",443,22.15,5,"Likert"
"576","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","5:  Agree strongly",304,15.2,7,"Likert"
"577","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","3:  Neither agree nor disagree",300,15,7,"Likert"
"578","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","4:  Somewhat agree",296,14.8,7,"Likert"
"579","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","6:  Not applicable (NA)",295,14.75,7,"Likert"
"580","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","7:  Don't know",273,13.65,7,"Likert"
"581","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","2:  Somewhat disagree",260,13,7,"Likert"
"582","I talk about different things with people when online than I do when face-to-face","428.2 - Engage with others online - I talk about different things with people when online than I do when face-to-face","1: Disagree strongly",272,13.6,7,"Likert"
"598","In public spaces generally","285.6 - Location of online activity - In public spaces generally","5:  Always",396,19.8,5,"Likert"
"599","In public spaces generally","285.6 - Location of online activity - In public spaces generally","3:  Once a week",397,19.85,5,"Likert"
"600","In public spaces generally","285.6 - Location of online activity - In public spaces generally","1: Never",402,20.1,5,"Likert"
"601","In public spaces generally","285.6 - Location of online activity - In public spaces generally","2:  Once a month",426,21.3,5,"Likert"
"602","In public spaces generally","285.6 - Location of online activity - In public spaces generally","4:  Daily",379,18.95,5,"Likert"
"603","In public spaces where WiFi is available","285.5 - Location of online activity - In public spaces where WiFi is available","4:  Daily",414,20.7,5,"Likert"
"604","In public spaces where WiFi is available","285.5 - Location of online activity - In public spaces where WiFi is available","5:  Always",400,20,5,"Likert"
"605","In public spaces where WiFi is available","285.5 - Location of online activity - In public spaces where WiFi is available","3:  Once a week",371,18.55,5,"Likert"
"606","In public spaces where WiFi is available","285.5 - Location of online activity - In public spaces where WiFi is available","2:  Once a month",405,20.25,5,"Likert"
"607","In public spaces where WiFi is available","285.5 - Location of online activity - In public spaces where WiFi is available","1: Never",410,20.5,5,"Likert"
"610","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","3:  Monthly",269,13.45,7,"Likert"
"611","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","2:  Less than Once a Month",295,14.75,7,"Likert"
"612","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","1: Never",292,14.6,7,"Likert"
"613","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","6:  Several times per day",280,14,7,"Likert"
"614","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","7:  Don't know",283,14.15,7,"Likert"
"615","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","5:  Daily",284,14.2,7,"Likert"
"616","Integrate tools or apps you have downloaded into the way you work","332.3 - Information seeking - Integrate tools or apps you have downloaded into the way you work","4:  Weekly",297,14.85,7,"Likert"
"617","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","6:  Several times per day",289,14.45,7,"Likert"
"618","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","7:  Don't know",301,15.05,7,"Likert"
"620","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","5:  Daily",267,13.35,7,"Likert"
"621","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","1: Never",270,13.5,7,"Likert"
"622","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","3:  Monthly",311,15.55,7,"Likert"
"623","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","4:  Weekly",258,12.9,7,"Likert"
"624","Internet service provider","433.10 - Other sources of information on internet safety - Internet service provider","2:  Less than Once a Month",304,15.2,7,"Likert"
"626","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","2:  Less than Once a Month",301,15.05,7,"Likert"
"627","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","6:  Several times per day",261,13.05,7,"Likert"
"628","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","4:  Weekly",299,14.95,7,"Likert"
"629","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","3:  Monthly",286,14.3,7,"Likert"
"630","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","5:  Daily",268,13.4,7,"Likert"
"631","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","7:  Don't know",292,14.6,7,"Likert"
"632","Join or start a group that discusses politics or political issues","349.6 - Engaging with Institutions - Join or start a group that discusses politics or political issues","1: Never",293,14.65,7,"Likert"
"633","Keeping safe","430.10 - Keeping in touch - Keeping safe","1: Not important at all",493,24.65,4,"Likert"
"634","Keeping safe","430.10 - Keeping in touch - Keeping safe","3:  Fairly important",505,25.25,4,"Likert"
"635","Keeping safe","430.10 - Keeping in touch - Keeping safe","4:  Extremely important",469,23.45,4,"Likert"
"636","Keeping safe","430.10 - Keeping in touch - Keeping safe","2:  A little important",533,26.65,4,"Likert"
"637","Learning new skills","430.9 - Keeping in touch - Learning new skills","3:  Fairly important",508,25.4,4,"Likert"
"638","Learning new skills","430.9 - Keeping in touch - Learning new skills","2:  A little important",499,24.95,4,"Likert"
"639","Learning new skills","430.9 - Keeping in touch - Learning new skills","4:  Extremely important",485,24.25,4,"Likert"
"640","Learning new skills","430.9 - Keeping in touch - Learning new skills","1: Not important at all",508,25.4,4,"Likert"
"641","Librarian","433.6 - Other sources of information on internet safety - Librarian","2:  Less than Once a Month",291,14.55,7,"Likert"
"644","Librarian","433.6 - Other sources of information on internet safety - Librarian","7:  Don't know",273,13.65,7,"Likert"
"645","Librarian","433.6 - Other sources of information on internet safety - Librarian","5:  Daily",290,14.5,7,"Likert"
"646","Librarian","433.6 - Other sources of information on internet safety - Librarian","6:  Several times per day",294,14.7,7,"Likert"
"647","Librarian","433.6 - Other sources of information on internet safety - Librarian","1: Never",273,13.65,7,"Likert"
"648","Librarian","433.6 - Other sources of information on internet safety - Librarian","3:  Monthly",282,14.1,7,"Likert"
"649","Librarian","433.6 - Other sources of information on internet safety - Librarian","4:  Weekly",297,14.85,7,"Likert"
"650","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","3:  Monthly",268,13.4,7,"Likert"
"651","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","4:  Weekly",292,14.6,7,"Likert"
"652","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","6:  Several times per day",282,14.1,7,"Likert"
"653","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","2:  Less than Once a Month",270,13.5,7,"Likert"
"654","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","5:  Daily",312,15.6,7,"Likert"
"655","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","7:  Don't know",292,14.6,7,"Likert"
"656","Like or promote content that other people post","343.7 - Using the Internet to stay in touch - Like or promote content that other people post","1: Never",284,14.2,7,"Likert"
"657","Listen to music","355.6 - Leisure - Listen to music","5:  Daily",300,15,7,"Likert"
"658","Listen to music","355.6 - Leisure - Listen to music","3:  Monthly",295,14.75,7,"Likert"
"659","Listen to music","355.6 - Leisure - Listen to music","1: Never",300,15,7,"Likert"
"660","Listen to music","355.6 - Leisure - Listen to music","6:  Several times per day",259,12.95,7,"Likert"
"661","Listen to music","355.6 - Leisure - Listen to music","2:  Less than Once a Month",295,14.75,7,"Likert"
"662","Listen to music","355.6 - Leisure - Listen to music","7:  Don't know",263,13.15,7,"Likert"
"663","Listen to music","355.6 - Leisure - Listen to music","4:  Weekly",288,14.4,7,"Likert"
"700","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","6:  Several times per day",291,14.55,7,"Likert"
"701","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","3:  Monthly",286,14.3,7,"Likert"
"702","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","5:  Daily",291,14.55,7,"Likert"
"703","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","7:  Don't know",256,12.8,7,"Likert"
"704","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","2:  Less than Once a Month",294,14.7,7,"Likert"
"705","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","1: Never",296,14.8,7,"Likert"
"706","Log in on a website with religious or spiritual content","340.9 - Entertainment - Log in on a website with religious or spiritual content","4:  Weekly",286,14.3,7,"Likert"
"707","Look for a different job online","332.4 - Information seeking - Look for a different job online","5:  Daily",296,14.8,7,"Likert"
"708","Look for a different job online","332.4 - Information seeking - Look for a different job online","4:  Weekly",284,14.2,7,"Likert"
"709","Look for a different job online","332.4 - Information seeking - Look for a different job online","2:  Less than Once a Month",307,15.35,7,"Likert"
"710","Look for a different job online","332.4 - Information seeking - Look for a different job online","1: Never",272,13.6,7,"Likert"
"711","Look for a different job online","332.4 - Information seeking - Look for a different job online","3:  Monthly",284,14.2,7,"Likert"
"712","Look for a different job online","332.4 - Information seeking - Look for a different job online","6:  Several times per day",275,13.75,7,"Likert"
"713","Look for a different job online","332.4 - Information seeking - Look for a different job online","7:  Don't know",282,14.1,7,"Likert"
"714","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","7:  Don't know",315,15.75,7,"Likert"
"715","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","5:  Daily",244,12.2,7,"Likert"
"716","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","3:  Monthly",264,13.2,7,"Likert"
"717","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","4:  Weekly",273,13.65,7,"Likert"
"718","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","1: Never",286,14.3,7,"Likert"
"719","Look for information about an MP, local councillor, political party or candidate","349.4 - Engaging with Institutions - Look for information about an MP, local councillor, political party or candidate","2:  Less than Once a Month",329,16.45,7,"Likert"
